ticker,Año,Deuda_financiera,EBIT,deuda_financiera/EBIT
NTGY.MC,2021,28953000000.0,2299000000.0,12.593736407133536
NTGY.MC,2022,28345000000.0,3242000000.0,8.743059839605182
NTGY.MC,2023,25689000000.0,3738000000.0,6.87239165329053
NTGY.MC,2024,26596000000.0,3694000000.0,7.199783432593395
PUIG.MC,2024,4847604000.0,769313000.0,6.301211600479909
RED.MC,2020,8947985000.0,911624000.0,9.815433775328424
RED.MC,2021,9971087000.0,1003551001.0,9.935804946698468
RED.MC,2022,9506361000.0,934605000.0,10.171528078707047
RED.MC,2023,8740533000.0,907579000.0,9.63060295577575
RED.MC,2024,9539012000.0,819205000.0,11.64423068706856
REP.MC,2020,26536000000.0,-2155000000.0,-12.31368909512761
REP.MC,2021,28292000000.0,4434000000.0,6.380694632386107
REP.MC,2022,29634000000.0,6606000000.0,4.485921889191644
REP.MC,2023,30540000000.0,4781000000.0,6.387784982221293
REP.MC,2024,31223000000.0,2673000000.0,11.680882903105125
ROVI.MC,2020,137287000.0,73684000.0,1.8631860376743934
ROVI.MC,2021,164293000.0,183351000.0,0.8960572890248758
ROVI.MC,2022,234790000.0,258617000.0,0.9078676189113631
ROVI.MC,2023,152904000.0,221481000.0,0.6903707315751689
ROVI.MC,2024,173143000.0,179678000.0,0.9636293814490366
SAB.MC,2020,222735496000.0,-156754999.0,-1420.9147869025855
SAB.MC,2021,238302935000.0,519709000.0,458.5314762684502
SAB.MC,2022,237157131000.0,1120479000.0,211.65691726484835
SAB.MC,2023,220189380000.0,1767971000.0,124.54354737719115
SAB.MC,2024,,,
SAN.MC,2020,1424776000000.0,-3139000000.0,-453.8948709780185
SAN.MC,2021,1506505000000.0,14115000000.0,106.73078285511866
SAN.MC,2022,1642530000000.0,46902000000.0,35.02046821031086
SAN.MC,2023,1699584000000.0,15846000000.0,107.25634229458538
SAN.MC,2024,,,
SCYR.MC,2020,12867646000.0,876067000.0,14.687970212323943
SCYR.MC,2021,12745071000.0,257709000.0,49.4552809564276
SCYR.MC,2022,15809449000.0,1029792000.0,15.352079837481744
SCYR.MC,2023,15129515000.0,1273391000.0,11.88127998391696
SCYR.MC,2024,14619078000.0,1178775000.0,12.401924031303684
SLR.MC,2020,432235000.0,33562000.0,12.878702103569513
SLR.MC,2021,711490000.0,73291000.0,9.70774037739968
SLR.MC,2022,1001784000.0,122740000.0,8.161838031611536
SLR.MC,2023,1097685000.0,170023000.0,6.456097116272504
SLR.MC,2024,1232452000.0,158239000.0,7.788547703157882
TEF.MC,2020,82904000000.0,4460000000.0,18.588340807174887
TEF.MC,2021,73796000000.0,14133000000.0,5.221538243826505
TEF.MC,2022,71045000000.0,4740000000.0,14.988396624472573
TEF.MC,2023,82329000000.0,1541000000.0,53.42569759896171
TEF.MC,2024,70569000000.0,3555000000.0,19.850632911392406
UNI.MC,2020,61305925000.0,70445000.0,870.2665199801263
UNI.MC,2021,109018104000.0,993061000.0,109.77986649359909
UNI.MC,2022,92385910000.0,319863000.0,288.8296239327462
UNI.MC,2023,90332041000.0,278623000.0,324.20884492665715
UNI.MC,2024,90445997000.0,-86850000.0,-1041.4046862406449
