ticker,Año,Date,Ultimo Precio
MRL.MC,2023,2023-12-29 00:00:00+01:00,9.67
MRL.MC,2024,2024-12-31 00:00:00+01:00,10.16
MRL.MC,2025,2025-05-02 00:00:00+02:00,10.05
MTS.MC,2020,2020-12-31 00:00:00+01:00,17.86
MTS.MC,2021,2021-12-30 00:00:00+01:00,26.84
MTS.MC,2022,2022-12-30 00:00:00+01:00,23.61
MTS.MC,2023,2023-12-29 00:00:00+01:00,25.13
MTS.MC,2024,2024-12-31 00:00:00+01:00,22.37
MTS.MC,2025,2025-05-02 00:00:00+02:00,27.07
NTGY.MC,2020,2020-12-31 00:00:00+01:00,14.76
NTGY.MC,2021,2021-12-30 00:00:00+01:00,23.7
NTGY.MC,2022,2022-12-30 00:00:00+01:00,21.07
NTGY.MC,2023,2023-12-29 00:00:00+01:00,24.73
NTGY.MC,2024,2024-12-31 00:00:00+01:00,22.82
NTGY.MC,2025,2025-05-02 00:00:00+02:00,25.98
PUIG.MC,2024,2024-12-31 00:00:00+01:00,17.83
PUIG.MC,2025,2025-05-02 00:00:00+02:00,16.99
RED.MC,2020,2020-12-31 00:00:00+01:00,13.04
RED.MC,2021,2021-12-30 00:00:00+01:00,15.73
RED.MC,2022,2022-12-30 00:00:00+01:00,14.19
RED.MC,2023,2023-12-29 00:00:00+01:00,13.84
RED.MC,2024,2024-12-31 00:00:00+01:00,16.3
RED.MC,2025,2025-05-02 00:00:00+02:00,17.8
REP.MC,2020,2020-12-31 00:00:00+01:00,6.53
REP.MC,2021,2021-12-30 00:00:00+01:00,8.5
REP.MC,2022,2022-12-30 00:00:00+01:00,12.74
REP.MC,2023,2023-12-29 00:00:00+01:00,12.12
REP.MC,2024,2024-12-31 00:00:00+01:00,11.23
REP.MC,2025,2025-05-02 00:00:00+02:00,10.77
ROVI.MC,2020,2020-12-31 00:00:00+01:00,35.45
ROVI.MC,2021,2021-12-30 00:00:00+01:00,69.48
ROVI.MC,2022,2022-12-30 00:00:00+01:00,34.51
ROVI.MC,2023,2023-12-29 00:00:00+01:00,59.42
ROVI.MC,2024,2024-12-31 00:00:00+01:00,62.95
ROVI.MC,2025,2025-05-02 00:00:00+02:00,52.05
SAB.MC,2020,2020-12-31 00:00:00+01:00,0.29
SAB.MC,2021,2021-12-30 00:00:00+01:00,0.48
SAB.MC,2022,2022-12-30 00:00:00+01:00,0.75
SAB.MC,2023,2023-12-29 00:00:00+01:00,1.0
SAB.MC,2024,2024-12-31 00:00:00+01:00,1.79
SAB.MC,2025,2025-05-02 00:00:00+02:00,2.53
SAN.MC,2020,2020-12-31 00:00:00+01:00,2.15
SAN.MC,2021,2021-12-30 00:00:00+01:00,2.55
SAN.MC,2022,2022-12-30 00:00:00+01:00,2.53
SAN.MC,2023,2023-12-29 00:00:00+01:00,3.56
SAN.MC,2024,2024-12-31 00:00:00+01:00,4.39
SAN.MC,2025,2025-05-02 00:00:00+02:00,6.34
SCYR.MC,2020,2020-12-31 00:00:00+01:00,1.6
SCYR.MC,2021,2021-12-30 00:00:00+01:00,1.89
SCYR.MC,2022,2022-12-30 00:00:00+01:00,2.25
SCYR.MC,2023,2023-12-29 00:00:00+01:00,2.92
SCYR.MC,2024,2024-12-31 00:00:00+01:00,3.1
SCYR.MC,2025,2025-05-02 00:00:00+02:00,3.27
SLR.MC,2020,2020-12-31 00:00:00+01:00,23.64
SLR.MC,2021,2021-12-30 00:00:00+01:00,17.12
SLR.MC,2022,2022-12-30 00:00:00+01:00,17.12
SLR.MC,2023,2023-12-29 00:00:00+01:00,18.61
SLR.MC,2024,2024-12-31 00:00:00+01:00,7.82
SLR.MC,2025,2025-05-02 00:00:00+02:00,6.37
TEF.MC,2020,2020-12-31 00:00:00+01:00,2.37
TEF.MC,2021,2021-12-30 00:00:00+01:00,3.08
TEF.MC,2022,2022-12-30 00:00:00+01:00,2.91
TEF.MC,2023,2023-12-29 00:00:00+01:00,3.29
TEF.MC,2024,2024-12-31 00:00:00+01:00,3.94
TEF.MC,2025,2025-05-02 00:00:00+02:00,4.5
UNI.MC,2020,2020-12-31 00:00:00+01:00,0.57
UNI.MC,2021,2021-12-30 00:00:00+01:00,0.7
UNI.MC,2022,2022-12-30 00:00:00+01:00,0.86
UNI.MC,2023,2023-12-29 00:00:00+01:00,0.78
UNI.MC,2024,2024-12-31 00:00:00+01:00,1.22
UNI.MC,2025,2025-05-02 00:00:00+02:00,1.7
