ticker,Año,totalRevenue,netIncome,EBIT,annual,Acciones Circulacion,Date,Ultimo Precio,BPA,PER
FER.MC,2021,6778000000.0,1198000000.0,340000000.0,731.5183,731518300.0,2021-12-30 00:00:00+01:00,25.58,1.6376897201341374,15.619564368948247
FER.MC,2022,7551000000.0,185000000.0,457000000.0,722.4782,722478200.0,2022-12-30 00:00:00+01:00,23.38,0.2560630895160574,91.30562332972973
FER.MC,2023,8514000000.0,460000000.0,908000000.0,728.255,728255000.0,2023-12-29 00:00:00+01:00,32.31,0.6316468819300932,51.15199793478261
FER.MC,2024,9147000000.0,3239000000.0,4098000000.0,729.2714,729271400.0,2024-12-31 00:00:00+01:00,40.6,4.441419202782393,9.141222241432542
GRF.MC,2020,5340038000.0,618546000.0,1047303000.0,683.3062,683306200.0,2020-12-31 00:00:00+01:00,23.49,0.9052252123572126,25.949343521742925
GRF.MC,2021,4933118000.0,265327000.0,562704000.0,684.405,684405000.0,2021-12-30 00:00:00+01:00,16.88,0.38767542610004313,43.54157850501456
GRF.MC,2022,6063967000.0,208279000.0,755785000.0,678.4107,678410700.0,2022-12-30 00:00:00+01:00,10.77,0.3070101930880512,35.0802684812199
GRF.MC,2023,6591977000.0,59315000.0,735574000.0,679.0923,679092300.0,2023-12-29 00:00:00+01:00,15.45,0.08734453328361992,176.8857124673354
GRF.MC,2024,7212382000.0,156920000.0,1319519000.0,680.4091,680409100.0,2024-12-31 00:00:00+01:00,9.15,0.23062595723660956,39.674632073668114
IAG.MC,2020,7806000000.0,-6935000000.0,-5823207771.0,3528.052,3528052000.0,2020-12-31 00:00:00+01:00,1.77,-1.9656739753268944,-0.9004545118961788
IAG.MC,2021,8455000000.0,-2933000000.0,-2944000000.0,4963.945,4963945000.0,2021-12-30 00:00:00+01:00,1.68,-0.5908606964823341,-2.843309785202864
IAG.MC,2022,23066000000.0,431000000.0,1392000000.0,4954.4233,4954423300.0,2022-12-30 00:00:00+01:00,1.37,0.08699297050375167,15.748398888631092
IAG.MC,2023,29453000000.0,2655000000.0,4157227179.0,5276.575,5276575000.0,2023-12-29 00:00:00+01:00,1.76,0.5031673007585413,3.497842561205273
IAG.MC,2024,32100000000.0,2732000000.0,4465000000.0,5080.3329,5080332900.0,2024-12-31 00:00:00+01:00,3.63,0.5377600353709104,6.750222703879941
IBE.MC,2020,33145000000.0,3611000000.0,6116000000.0,6418.156,6418156000.0,2020-12-31 00:00:00+01:00,9.69,0.5626226598418611,17.2229110052617
IBE.MC,2021,39114000000.0,3885000000.0,7586000000.0,6437.563,6437563000.0,2021-12-30 00:00:00+01:00,8.95,0.6034892396392859,14.830421840411837
IBE.MC,2022,53949000000.0,4339000000.0,8056000000.0,6437.563,6437563000.0,2022-12-30 00:00:00+01:00,9.82,0.6740128213114186,14.569455787047708
IBE.MC,2023,49335000000.0,4803000000.0,9140000000.0,6219.3539,6219353900.0,2023-12-29 00:00:00+01:00,11.15,0.7722667140713765,14.438017069539871
IBE.MC,2024,44739000000.0,5612000000.0,9877140000.0,6176.8766,6176876600.0,2024-12-31 00:00:00+01:00,13.08,0.9085498000720947,14.396569124732714
IDR.MC,2020,3043408000.0,-57467000.0,-20207000.0,193.3222,193322200.0,2020-12-31 00:00:00+01:00,6.63,-0.2972602215368954,-22.30369057024031
IDR.MC,2021,3390425000.0,143369000.0,261299000.0,193.1598,193159800.0,2021-12-30 00:00:00+01:00,9.05,0.7422300085214418,12.192985861657682
IDR.MC,2022,3851390000.0,171895000.0,320184000.0,193.3274,193327400.0,2022-12-30 00:00:00+01:00,10.29,0.8891393563457637,11.572989010733297
IDR.MC,2023,4343072000.0,205752000.0,386702000.0,178.5503,178550300.0,2023-12-29 00:00:00+01:00,13.82,1.1523475457616146,11.992909648508885
IDR.MC,2024,4842857000.0,277541000.0,438335000.0,175.4419,175441900.0,2024-12-31 00:00:00+01:00,17.08,1.5819539118078407,10.796774717969596
ITX.MC,2020,20402000000.0,1106000000.0,1496000000.0,3114.8704,3114870400.0,2020-12-31 00:00:00+01:00,23.09,0.3550709525507064,65.02925636166366
ITX.MC,2021,27716000000.0,3243000000.0,4254000000.0,3114.9257,3114925700.0,2021-12-30 00:00:00+01:00,25.78,1.041116325824401,24.76188237619488
ITX.MC,2022,32569000000.0,4130000000.0,5449000000.0,3111.7195,3111719500.0,2022-12-30 00:00:00+01:00,23.14,1.3272404533891953,17.4346705157385
ITX.MC,2023,35947000000.0,5381000000.0,6924888000.0,3113.0696,3113069600.0,2023-12-29 00:00:00+01:00,37.9,1.7285190154437922,21.926284675710836
ITX.MC,2024,38631875000.0,5866133000.0,7929121000.0,3113.5539,3113553900.0,2024-12-31 00:00:00+01:00,48.78,1.8840634170489228,25.890848237160665
LOG.MC,2020,10559080000.0,157184000.0,229349000.0,133.2353,133235300.0,2020-12-31 00:00:00+01:00,11.51,1.1797474092826752,9.756325726537051
LOG.MC,2021,10816832000.0,173961000.0,259830000.0,132.5641,132564100.0,2021-12-30 00:00:00+01:00,13.65,1.31227836193962,10.401756514391158
LOG.MC,2022,11463646000.0,198848000.0,285034000.0,132.4444,132444400.0,2022-12-30 00:00:00+01:00,19.65,1.501369631332091,13.088049464917926
LOG.MC,2023,12427536000.0,272254000.0,372470000.0,132.0,132000000.0,2023-12-29 00:00:00+01:00,21.61,2.062530303030303,10.477421819330479
LOG.MC,2024,12985534000.0,308235000.0,425738000.0,132.7586,132758600.0,2024-12-31 00:00:00+01:00,27.69,2.321770491704492,11.926243398705534
MAP.MC,2020,19145700000.0,820700000.0,318300000.0,2888.3333,2888333300.0,2020-12-31 00:00:00+01:00,1.19,0.28414310772236706,4.188030494699647
MAP.MC,2021,20581600000.0,1035600000.0,295100000.0,3090.0,3090000000.0,2021-12-30 00:00:00+01:00,1.45,0.3351456310679612,4.326477404403244
MAP.MC,2022,21557200000.0,1083800000.0,1242500000.0,3059.7637,3059763700.0,2022-12-30 00:00:00+01:00,1.57,0.3542103594470383,4.432394361505813
MAP.MC,2023,27125300000.0,677200000.0,1614400000.0,3064.4242,3064424200.0,2023-12-29 00:00:00+01:00,1.82,0.22098768179679562,8.235753165977554
MAP.MC,2024,25833400000.0,967500000.0,2063900000.0,3067.3532,3067353200.0,2024-12-31 00:00:00+01:00,2.44,0.31541851782833485,7.735753806718346
MRL.MC,2020,446132000.0,56358000.0,191674000.0,464.9342,464934200.0,2020-12-31 00:00:00+01:00,5.97,0.12121715287883748,49.25045555200681
MRL.MC,2021,382830000.0,512217000.0,516184000.0,4.6238,4623800.0,2021-12-30 00:00:00+01:00,7.71,110.77836411609499,0.06959842801000357
MRL.MC,2022,439038000.0,263087000.0,151538000.0,465.6524,465652400.0,2022-12-30 00:00:00+01:00,7.99,0.5649858134522661,14.141948009593786
MRL.MC,2023,464779000.0,-83497000.0,34524000.0,620.696,620696000.0,2023-12-29 00:00:00+01:00,9.67,-0.134521569335069,-71.88438291196091
MRL.MC,2024,494572000.0,283759000.0,426168000.0,562.4103,562410300.0,2024-12-31 00:00:00+01:00,10.16,0.5045409019002675,20.137118639408794
MTS.MC,2020,53270000000.0,-578000000.0,1565000000.0,1204.0,1204000000.0,2020-12-31 00:00:00+01:00,17.86,-0.48006644518272423,-37.20318339100346
