ticker,Año,totalPatrimonioNeto,netIncome,ROE
SAB.MC,2021,12971301000.0,530238000.0,0.04087778087949698
SAB.MC,2022,13190000000.0,889392000.0,0.06742926459438969
SAB.MC,2023,13844993000.0,1332000000.0,0.0962080659773537
SAB.MC,2024,14998000000.0,1827000000.0,0.12181624216562208
SAN.MC,2020,81476000000.0,-7708000000.0,-0.09460454612401198
SAN.MC,2021,86930000000.0,8124000000.0,0.0934545036236052
SAN.MC,2022,89104000000.0,9605000000.0,0.10779538516789369
SAN.MC,2023,95423000000.0,11076000000.0,0.11607264495981053
SAN.MC,2024,98601000000.0,12574000000.0,0.1275240616220931
SCYR.MC,2020,557307000.0,110887000.0,0.19896932929247255
SCYR.MC,2021,409373000.0,-101598000.0,-0.2481795330908487
SCYR.MC,2022,535662000.0,110516000.0,0.20631666984030975
SCYR.MC,2023,795759000.0,153222000.0,0.19254824639118126
SCYR.MC,2024,1006793000.0,113373000.0,0.11260805349262461
SLR.MC,2020,222514000.0,30414000.0,0.1366835345191763
SLR.MC,2021,247355000.0,48035000.0,0.1941945786420327
SLR.MC,2022,343288000.0,90048000.0,0.262310363310107
SLR.MC,2023,522918000.0,107514000.0,0.20560393790230974
SLR.MC,2024,613886000.0,88614000.0,0.14434927657578117
TEF.MC,2020,11235000000.0,1582000000.0,0.14080996884735203
TEF.MC,2021,22207000000.0,8137000000.0,0.36641599495654525
TEF.MC,2022,25088000000.0,2011000000.0,0.0801578443877551
TEF.MC,2023,14302000000.0,-892000000.0,-0.062368899454621735
TEF.MC,2024,19347000000.0,-49000000.0,-0.002532692407091539
UNI.MC,2020,4004719000.0,77831000.0,0.019434821769018
UNI.MC,2021,6325615000.0,1113202000.0,0.17598320479510687
UNI.MC,2022,6463504000.0,277576000.0,0.04294512697756511
UNI.MC,2023,6643626000.0,266703000.0,0.040144192343157185
UNI.MC,2024,6739712000.0,573334000.0,0.08506802664564896
